"门店名称","款式","商品性质","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)"
" -> 嘉定店 -> 长裤 -> 清理","","清理","","","","","3","-1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 带帽","带帽","","","","","","","","","","","","","","7","5","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 带帽 -> 停止进货","带帽","停止进货","","","","","","","","","","","","","6","5","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 带帽 -> 清理","","清理","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖短板T恤","短袖短板T恤","","16","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","13","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖短板T恤 -> 停止进货","","停止进货","3","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖短板T恤 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长袖","长袖","","12","6","","","","","","","2","2","","","","","","","","","","","","","","","","","7","13","","","","","","","","","",""
" -> 嘉定店 -> 长袖 -> 停止进货","长袖","停止进货","12","6","","","","","","","2","2","","","","","","","","","","","","","","","","","7","13","","","","","","","","","",""
" -> 嘉定店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 正常夹克 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 9","9","","","","","","6","6","","","","","","","","","","","","","","","4","0","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 9 -> 新款试货","9","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 9 -> 停止进货","","停止进货","","","","","3","1","","","","","","","","","","","","","","","4","0","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 9 -> 正常补货","","正常补货","","","","","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖","短袖","","5","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖 -> 停止进货","短袖","停止进货","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 短袖 -> 正常补货","","正常补货","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 套头","套头","","","","","","","","","","3","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","3","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 鞋","鞋","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",""
" -> 嘉定店 -> 鞋 -> 清理","鞋","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 鞋 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
" -> 嘉定店 -> 鞋 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",""
" -> 嘉定店 -> 连身","连身","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 连身 -> 停止进货","连身","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","34","30","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 套衫短板卫衣 -> 清理","套衫短板卫衣","清理","","","","","","","","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 套衫短板卫衣 -> 停止进货","","停止进货","","","","","","","","","31","30","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 无领中袖","无领中袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","",""
" -> 嘉定店 -> 无领中袖 -> 停止进货","无领中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","",""
" -> 嘉定店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3"
" -> 嘉定店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2"
" -> 嘉定店 -> 正常风衣（外套） -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
" -> 嘉定店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 上下套装 -> 停止进货","上下套装","停止进货","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 条纹","条纹","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","","","","","","","","","",""
" -> 嘉定店 -> 条纹 -> 停止进货","条纹","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","","","","","","","","","",""
" -> 嘉定店 -> 中袖","中袖","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 中袖 -> 停止进货","中袖","停止进货","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 净色","净色","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 净色 -> 停止进货","净色","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 开衫","开衫","","","","","","","","","","","","","","","","","","","","2","-1","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 开衫 -> 清理","开衫","清理","","","","","","","","","","","","","","","","","","","2","-1","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长袖短板T恤","长袖短板T恤","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长袖短板T恤 -> 清理","长袖短板T恤","清理","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 有领长袖","有领长袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 嘉定店 -> 有领长袖 -> 清理","有领长袖","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
" -> 嘉定店 -> 包","包","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 包 -> 退货","包","退货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 格子","格子","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
" -> 嘉定店 -> 格子 -> 清理","格子","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
" -> 马陆店","","","17","39","","","22","33","","","40","43","-2","","10","5","","2","","","","10","16","12","","","","","8","5","","","","","","","2","1","1","1"
" -> 马陆店 -> [未知]","[未知]","","7","9","","","7","11","","","2","3","","","5","2","","","","","","","1","1","","","","","1","1","","","","","","","","","1",""
" -> 马陆店 -> [未知] -> 停止进货","[未知]","停止进货","5","7","","","7","11","","","2","3","","","5","2","","","","","","","","","","","","","","","","","","","","","","","1",""
" -> 马陆店 -> [未知] -> 正常补货","","正常补货","2","2","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","",""
" -> 马陆店 -> [未知] -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖短板T恤","短袖短板T恤","","6","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","4","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖短板T恤 -> 停止进货","","停止进货","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长裤","长裤","","","","","","13","22","","","","","","","","","","","","","","","15","10","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","7","14","","","","","","","","","","","","","","","11","6","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长裤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","3","3","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长裤 -> 清理","","清理","","","","","6","6","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长裤 -> 新款试货","","新款试货","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖短板T恤","中袖短板T恤","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖短板T恤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","35","36","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套衫短板卫衣 -> 停止进货","套衫短板卫衣","停止进货","","","","","","","","","26","28","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套衫短板卫衣 -> 清理","","清理","","","","","","","","","9","8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长袖","长袖","","2","4","","","","","","","1","2","","","","","","","","","","","","","","","","","5","4","","","","","","","","","",""
" -> 马陆店 -> 长袖 -> 停止进货","长袖","停止进货","2","3","","","","","","","1","2","","","","","","","","","","","","","","","","","5","4","","","","","","","","","",""
" -> 马陆店 -> 长袖 -> 清理","","清理","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 9","9","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 9 -> 新款试货","9","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 9 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 9 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 9 -> 清理","","清理","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 正常夹克 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长袖短板T恤","长袖短板T恤","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 长袖短板T恤 -> 清理","长袖短板T恤","清理","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套头","套头","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套头 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","-2","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
" -> 马陆店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","-2","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
" -> 马陆店 -> 正常风衣（外套） -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 上下套装 -> 停止进货","上下套装","停止进货","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖","短袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖 -> 正常补货","短袖","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 短袖 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 鞋","鞋","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","",""
" -> 马陆店 -> 鞋 -> 停止进货","鞋","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","",""
" -> 马陆店 -> 鞋 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
" -> 马陆店 -> 套衫短板毛衣","套衫短板毛衣","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 套衫短板毛衣 -> 清理","套衫短板毛衣","清理","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖","中袖","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖 -> 停止进货","中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 中袖 -> 清理","","清理","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 带帽","带帽","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 带帽 -> 清理","带帽","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 带帽 -> 停止进货","","停止进货","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 马陆店 -> 格子","格子","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
" -> 马陆店 -> 格子 -> 清理","格子","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
" -> 澄浏店","","","18","20","","","24","32","","","20","28","","","3","1","","","","","3","","6","9","","","","","4","8","","","","","","","","","1","1"
" -> 澄浏店 -> 短袖短板T恤","短袖短板T恤","","14","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","14","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 短袖短板T恤 -> 停止进货","","停止进货","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 中袖短板T恤","中袖短板T恤","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套衫短板卫衣","套衫短板卫衣","","","","","","","","","","17","26","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套衫短板卫衣 -> 停止进货","套衫短板卫衣","停止进货","","","","","","","","","12","25","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套衫短板卫衣 -> 清理","","清理","","","","","","","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> [未知]","[未知]","","","1","","","1","3","","","2","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","",""
" -> 澄浏店 -> [未知] -> 停止进货","[未知]","停止进货","","1","","","1","3","","","2","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","",""
" -> 澄浏店 -> [未知] -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> [未知] -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长裤","长裤","","","","","","22","28","","","","","","","","","","","","","","","6","9","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","12","6","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长裤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长裤 -> 新款试货","","新款试货","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长裤 -> 清理","","清理","","","","","10","20","","","","","","","","","","","","","","","2","8","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 正常风衣（外套）","正常风衣（外套）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
" -> 澄浏店 -> 正常风衣（外套） -> 清理","正常风衣（外套）","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
" -> 澄浏店 -> 正常风衣（外套） -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
" -> 澄浏店 -> 正常夹克","正常夹克","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 正常夹克 -> 停止进货","正常夹克","停止进货","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 正常夹克 -> 清理","","清理","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 9","9","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 9 -> 正常补货","9","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 9 -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 9 -> 停止进货","","停止进货","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 9 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套头","套头","","","","","","","","","","1","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套头 -> 停止进货","套头","停止进货","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套头 -> 清理","","清理","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 长袖","长袖","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","4","6","","","","","","","","","",""
" -> 澄浏店 -> 长袖 -> 停止进货","长袖","停止进货","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","",""
" -> 澄浏店 -> 长袖 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","","","","","","","",""
" -> 澄浏店 -> 中袖","中袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 中袖 -> 停止进货","中袖","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 带帽","带帽","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 带帽 -> 停止进货","带帽","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 短袖","短袖","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 短袖 -> 正常补货","短袖","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 短袖 -> 停止进货","","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 开衫","开衫","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 开衫 -> 正常补货","开衫","正常补货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 开衫 -> 清理","","清理","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套衫短板毛衣","套衫短板毛衣","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 套衫短板毛衣 -> 清理","套衫短板毛衣","清理","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
" -> 澄浏店 -> 净色","净色","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
" -> 澄浏店 -> 净色 -> 停止进货","净色","停止进货","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
" -> 城中店","","","10","12","11","3","16","15","","","9","6","","","","2","1","2","","","","","7","4","","","","","1","4","","1","","","","","","1","",""
" -> 城中店 -> [未知]","[未知]","","3","1","11","3","","1","","","","","","","","1","","","","","","","","","","","","","","4","","","","","","","","","",""
" -> 城中店 -> [未知] -> 正常补货","[未知]","正常补货","1","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","",""
" -> 城中店 -> [未知] -> 停止进货","","停止进货","2","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> [未知] -> 清理","","清理","","","11","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> [未知] -> 新款试货","","新款试货","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短袖短板T恤","短袖短板T恤","","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 短袖短板T恤 -> 正常补货","短袖短板T恤","正常补货","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 上下套装","上下套装","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 上下套装 -> 停止进货","上下套装","停止进货","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长裤","长裤","","","","","","16","11","","","","","","","","","","","","","","","7","4","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","9","5","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","",""
" -> 城中店 -> 长裤 -> 清理","","清理","","","","","7","6","","","","","","","","","","","","","","","7","1","","","","","","","","","","","","","","","",""
